,tweets,len,ID,Date,Source,Likes,RTs
0,"Wonderfully expressed by Pranab Da! 

It is a matter of pride for the entire nation that an eminent statesman like… https://t.co/eZUrLadKGS",139,1.14211E+18,21-06-19 16:36,Twitter for iPhone,10774,1758
1,"RT @IndiainNewYork: International Yoga Day at Times Square, what a feeling..., one can feel the positive energy in this magical square #Yog…",140,1.14211E+18,21-06-19 16:34,Twitter for iPhone,0,420
2,"RT @Indemb_Muscat: The honourable PM’s message to join the #Yoga movement to lead a diseasefree, stressfree and happy life, linking the who…",140,1.14211E+18,21-06-19 16:34,Twitter for iPhone,0,387
3,RT @IndianEmbTokyo: Pics of #IDY2019 events organized at the University of Tsukuba @UofTsukuba #Japan in association with @IndianEmbTokyo.…,139,1.14211E+18,21-06-19 16:34,Twitter for iPhone,0,310
4,"RT @IndiainSwiss: YOGA DAY CELEBRATIONS IN BERNE, SWITZERLAND: Glimpses of IDY 2019 celebrations in Berne, Switzerland, Jun 21. CONNECTING…",139,1.14211E+18,21-06-19 16:34,Twitter for iPhone,0,342
5,"RT @IndiainIreland: Enthusiastic celebration of International Day of Yoga 2019 in Letterkenny, organised by Healing Flow Yoga, supported by…",140,1.14211E+18,21-06-19 16:34,Twitter for iPhone,0,297
6,"RT @IndEmbMexico: #Yoga in Yucatán! 
Yoga enthusiasts celebrating the 5th #IDY2019 on 21st June in Mérida. @MukteshPardeshi @ICCR_Delhi @In…",140,1.14211E+18,21-06-19 16:34,Twitter for iPhone,0,316
7,"RT @cgihou: #IDY2019 celebrated at @indiahouse Houston
@PMOIndia @narendramodi @DrSJaishankar @harshvshringla @MEAIndia @ICCR_Delhi @Indian…",140,1.14211E+18,21-06-19 16:34,Twitter for iPhone,0,336
8,"My dear friend @moonriver365,

I was overjoyed to read your message. I fully agree with you on the power of Yoga to… https://t.co/4TtzgopoxT",140,1.14208E+18,21-06-19 14:21,Twitter Web Client,8937,1683
9,저 역시 조만간 오사카에서 대통령님을 만나뵙는 것을 고대하고 있습니다.,39,1.14207E+18,21-06-19 14:19,Twitter Web Client,7229,1026
10,"친애하는 문재인 대통령님 (@moonriver365)

문재인 대통령님의 메시지를 읽고 너무 기뻤습니다. 모두를 하나가 되게 하는 ‘요가의 힘’에 대한 문대통령님의 말씀에 저도 전적으로 동의합니다. 이러한… https://t.co/5z94kCleSz",139,1.14207E+18,21-06-19 14:19,Twitter Web Client,9199,1896
11,"I congratulate the @FollowCII family for actively organising Yoga Day programmes across India. 

Such efforts to po… https://t.co/MgXiJA6jEC",140,1.14207E+18,21-06-19 14:18,Twitter Web Client,3961,727
12,"Would recommend Yoga to all professionals, particularly young professionals. 

Yoga will bring discipline, clarity… https://t.co/TmUiDGPmVW",139,1.14207E+18,21-06-19 14:18,Twitter Web Client,5500,1014
13,The superbly talented @DuttYogi shows the way and inspires others to embrace Yoga! #YogaDay2019 https://t.co/S9TM3j2GPd,119,1.14207E+18,21-06-19 14:17,Twitter Web Client,4298,778
14,"Happy to see this @akshaykumar! 

Yoga does transform people's health for the better. #YogaDay2019 https://t.co/h2bLu0mi20",122,1.14207E+18,21-06-19 14:16,Twitter Web Client,16410,1859
15,"Valuable words by Rashtrapati Ji.

His participating in a Yoga Day programme makes the celebrations even more speci… https://t.co/LsWybUyEdV",140,1.14207E+18,21-06-19 14:15,Twitter Web Client,5551,1027
16,"RT @BSF_India: #योगदिवस
#YogaDay2019
#InternationalYogaDay
#InternationalDayOfYoga
#Bordermen as Indian Formed Police Unit for #UN at  Beni…",140,1.14207E+18,21-06-19 14:00,Twitter Web Client,0,664
17,RT @FranceinIndia: French tribute on #YogaDay2019 : +80 people this morning at the Embassy to celebrate #yoga! More than 25 lakh people are…,140,1.14206E+18,21-06-19 13:37,Twitter Web Client,0,853
